# Freq (Hz)	LIGO_Hanford_PSD (1/Hz)	LIGO_Livingston_PSD (1/Hz)	Virgo_PSD (1/Hz)
25.507812	1.9310300e-44	1.1534102e-45	6.7381866e-44
25.515625	1.9267425e-44	1.1511079e-45	6.7225128e-44
25.523438	1.9224670e-44	1.1488116e-45	6.7067449e-44
25.531250	1.9182035e-44	1.1465213e-45	6.6910110e-44
25.539062	1.9139519e-44	1.1442370e-45	6.6753318e-44
25.546875	1.9097121e-44	1.1419585e-45	6.6597068e-44
25.554688	1.9054843e-44	1.1396860e-45	6.6441360e-44
25.562500	1.9012682e-44	1.1374194e-45	6.6286189e-44
25.570312	1.8970639e-44	1.1351586e-45	6.6131555e-44
25.578125	1.8928713e-44	1.1328998e-45	6.5977455e-44
25.585938	1.8886905e-44	1.1306308e-45	6.5823550e-44
25.593750	1.8845213e-44	1.1283678e-45	6.5669683e-44
25.601562	1.8803637e-44	1.1261106e-45	6.5516349e-44
25.609375	1.8762177e-44	1.1238594e-45	6.5363545e-44
25.617188	1.8720833e-44	1.1216140e-45	6.5211270e-44
25.625000	1.8679604e-44	1.1193744e-45	6.5059520e-44
25.632812	1.8638489e-44	1.1171407e-45	6.4908294e-44
25.640625	1.8597489e-44	1.1149128e-45	6.4757590e-44
25.648438	1.8556603e-44	1.1126907e-45	6.4607404e-44
25.656250	1.8515830e-44	1.1104744e-45	6.4457735e-44
25.664062	1.8475171e-44	1.1082639e-45	6.4308581e-44
25.671875	1.8434625e-44	1.1060591e-45	6.4159938e-44
25.679688	1.8394191e-44	1.1038864e-45	6.4011806e-44
25.687500	1.8353869e-44	1.1017231e-45	6.3864182e-44
25.695312	1.8313660e-44	1.0995655e-45	6.3717064e-44
25.703125	1.8273561e-44	1.0974133e-45	6.3570449e-44
25.710938	1.8233574e-44	1.0952667e-45	6.3424335e-44
25.718750	1.8193698e-44	1.0931255e-45	6.3278720e-44
25.726562	1.8153932e-44	1.0909898e-45	6.3133603e-44
25.734375	1.8114276e-44	1.0888596e-45	6.2988980e-44
25.742188	1.8074729e-44	1.0867349e-45	6.2844850e-44
25.750000	1.8035292e-44	1.0846156e-45	6.2701210e-44
25.757812	1.7995964e-44	1.0825017e-45	6.2557959e-44
25.765625	1.7956745e-44	1.0803932e-45	6.2414523e-44
25.773438	1.7917634e-44	1.0782901e-45	6.2271574e-44
25.781250	1.7878631e-44	1.0761923e-45	6.2129108e-44
25.789062	1.7839736e-44	1.0741000e-45	6.1987981e-44
